//X,Y,Z,Temp. approx. distances,Roughness (1.22938),Mean curvature (1.22938),Gaussian curvature (1.22938),Normal change rate (1.22938),Number of neighbors (r=1.22938),Surface density (r=1.22938),Volume density (r=1.22938),Eigenvalues sum (1.22938),Omnivariance (1.22938),Eigenentropy (1.22938),Anisotropy (1.22938),Planarity (1.22938),Linearity (1.22938),PCA1 (1.22938),PCA2 (1.22938),Surface variation (1.22938),Sphericity (1.22938),Verticality (1.22938),Nx,Ny,Nz
-6.09399414,-8.93076134,3.74800014,-0.070724,0.007073,0.021138,0.000205,0.001138,22.000000,4.633415,2.826680,0.622555,0.040642,0.725511,0.998001,0.753118,0.244883,0.569114,0.429748,0.001138,0.001999,0.350212,0.656617,0.376855,-0.653326
-5.85999489,-8.79676247,4.06200027,-0.077953,0.005303,0.026937,0.000376,0.001164,22.000000,4.633415,2.826680,0.618918,0.040691,0.724606,0.997963,0.746298,0.251665,0.571307,0.427529,0.001164,0.002037,0.343988,0.656617,0.376855,-0.653326
-11.24999619,8.11724091,8.43599987,-0.125260,0.000734,0.001135,0.000001,0.000001,21.000000,4.422805,2.698195,0.632586,0.003192,0.723255,0.999999,0.778647,0.221353,0.562225,0.437775,0.000001,0.000001,0.345382,0.653921,0.380493,-0.653921
-11.71999550,8.38924026,8.12399960,-0.119878,0.000096,0.000202,0.000002,0.000000,21.000000,4.422805,2.698195,0.632084,0.003009,0.723133,0.999999,0.777681,0.222318,0.562530,0.437470,0.000000,0.000001,0.345212,0.654738,0.377670,-0.654738
6.09400558,-1.89476204,7.81200027,-0.111097,0.000635,0.001636,0.000001,0.000001,21.000000,4.422805,2.698195,0.632159,0.003144,0.723152,0.999999,0.777832,0.222167,0.562482,0.437517,0.000001,0.000001,0.345112,-0.654738,0.377670,-0.654738
5.85800552,-1.76076126,8.12399960,-0.104596,0.000408,0.001448,0.000001,0.000000,21.000000,4.422805,2.698195,0.632288,0.002957,0.723169,0.999999,0.777810,0.222190,0.562489,0.437510,0.000000,0.000001,0.345030,-0.654738,0.377670,-0.654738
13.12400436,19.21323776,7.81200027,-0.070488,0.000410,0.000208,0.000000,0.000000,21.000000,4.422805,2.698195,0.632238,0.003061,0.723148,0.999999,0.777539,0.222460,0.562575,0.437425,0.000000,0.000001,0.345150,-0.001377,-0.756234,-0.654300
18.28000641,19.21323776,7.81200027,0.109336,0.323011,1.107117,0.112028,0.070457,21.000000,4.422805,2.698195,0.533244,0.128533,0.794689,0.881802,0.441192,0.440610,0.596094,0.333449,0.070457,0.118198,0.121489,-0.418874,-0.241716,-0.875282
-11.24999619,19.21323776,7.81200027,-0.076760,0.000410,0.000208,0.000000,0.000000,21.000000,4.422805,2.698195,0.632149,0.003060,0.723145,0.999999,0.777735,0.222264,0.562513,0.437486,0.000000,0.000001,0.345150,0.001377,-0.756234,-0.654300
14.99800491,19.21323776,7.81200027,-0.092104,0.000410,0.000208,0.000000,0.000000,21.000000,4.422805,2.698195,0.632149,0.003060,0.723145,0.999999,0.777735,0.222264,0.562513,0.437486,0.000000,0.000001,0.345150,-0.001377,-0.756234,-0.654300
-17.81399536,19.21323776,7.81200027,-0.029176,0.193878,0.739000,0.001259,0.073442,25.000000,5.265244,3.212136,0.649073,0.160724,0.856626,0.866978,0.545218,0.321759,0.552101,0.374457,0.073442,0.133022,0.153770,0.116592,-0.621334,-0.774823
0.46800613,19.21323776,7.81200027,-0.104262,0.000410,0.000208,0.000000,0.000000,21.000000,4.422805,2.698195,0.632238,0.003061,0.723148,0.999999,0.777539,0.222460,0.562575,0.437425,0.000000,0.000001,0.345150,0.001377,-0.756234,-0.654300
-7.50199509,19.21323776,7.81200027,-0.105859,0.000410,0.000208,0.000000,0.000000,21.000000,4.422805,2.698195,0.632149,0.003060,0.723145,0.999999,0.777735,0.222264,0.562513,0.437486,0.000000,0.000001,0.345150,-0.001377,-0.756234,-0.654300
-15.00199509,18.94324112,8.12399960,-0.062294,0.000198,0.001033,0.000000,0.000000,21.000000,4.422805,2.698195,0.632200,0.002451,0.723158,1.000000,0.777879,0.222121,0.562468,0.437532,0.000000,0.000000,0.345070,0.001377,-0.756234,-0.654300
12.65600586,18.94324112,8.12399960,-0.066722,0.000198,0.001033,0.000000,0.000000,21.000000,4.422805,2.698195,0.632200,0.002451,0.723158,1.000000,0.777879,0.222121,0.562468,0.437532,0.000000,0.000000,0.345070,-0.001377,-0.756234,-0.654300
-2.81399536,19.21323776,7.81200027,-0.127939,0.000410,0.000208,0.000000,0.000000,21.000000,4.422805,2.698195,0.632238,0.003061,0.723148,0.999999,0.777539,0.222460,0.562575,0.437425,0.000000,0.000001,0.345150,-0.001377,-0.756234,-0.654300
14.06200409,19.21323776,7.81200027,-0.081017,0.000410,0.000208,0.000000,0.000000,21.000000,4.422805,2.698195,0.632149,0.003060,0.723145,0.999999,0.777735,0.222264,0.562513,0.437486,0.000000,0.000001,0.345150,0.001377,-0.756234,-0.654300
